country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Cameroon,2020,26545863,2.64 %,649499,-4800,18.7,4.6,56,56.3 %,14941523,0.34 %,7794798739,52
Cameroon,2025,30031673,2.50 %,697162,-4800,19.4,4.6,64,59.1 %,17739676,0.37 %,8184437460,52
Cameroon,2030,33766121,2.37 %,746890,-4800,20.3,4.6,71,61.8 %,20857109,0.39 %,8548487400,53
Cameroon,2035,37722498,2.24 %,791275,-4800,21.2,4.6,80,64.4 %,24290758,0.42 %,8887524213,51
Cameroon,2040,41873466,2.11 %,830194,-4800,22.2,4.6,89,67.0 %,28048983,0.46 %,9198847240,47
Cameroon,2045,46172137,1.97 %,859734,-4800,23.1,4.6,98,69.5 %,32105585,0.49 %,9481803274,42
Cameroon,2050,50573042,1.84 %,880181, ,24.0,4.6,107,72.0 %,36415328,0.52 %,9735033990,41
Canada,2020,37742154,0.93 %,343096,242032,41.1,1.53,4,81.3 %,30670064,0.48 %,7794798739,39
Canada,2025,39326966,0.83 %,316962,234814,42.1,1.53,4,81.8 %,32164167,0.48 %,8184437460,38
Canada,2030,40833727,0.75 %,301352,242454,43.0,1.53,4,82.4 %,33662820,0.48 %,8548487400,39
Canada,2035,42238715,0.68 %,280998,252714,43.9,1.53,5,83.1 %,35120468,0.48 %,8887524213,40
Canada,2040,43486278,0.58 %,249513,252645,44.8,1.53,5,84.0 %,36540219,0.47 %,9198847240,43
Canada,2045,44611365,0.51 %,225017,253052,45.4,1.53,5,85.0 %,37921907,0.47 %,9481803274,46
Canada,2050,45669441,0.47 %,211615, ,45.5,1.53,5,85.9 %,39233850,0.47 %,9735033990,45
Caribbean Netherlands,2020,26223,1.31 %,331,,,,80,75 %,19672,0 %,7794798739,221
Caribbean Netherlands,2025,27181,0.72 %,192,,,,83,75.6 %,20554,0 %,8184437460,221
Caribbean Netherlands,2030,27945,0.56 %,153,,,,85,76.6 %,21401,0 %,8548487400,221
Caribbean Netherlands,2035,28562,0.44 %,123,,,,87,77.8 %,22220,0 %,8887524213,221
Caribbean Netherlands,2040,29047,0.34 %,97,,,,89,79.2 %,23006,0 %,9198847240,221
Caribbean Netherlands,2045,29423,0.26 %,75,,,,90,80.7 %,23732,0 %,9481803274,221
Caribbean Netherlands,2050,29706,0.19 %,57,,,,91,82.1 %,24394,0 %,9735033990,221
Cayman Islands,2020,65722,1.26 %,800,,,,274,97.2 %,63890,0 %,7794798739,205
Cayman Islands,2025,69599,1.15 %,775,,,,290,97.1 %,67599,0 %,8184437460,205
Cayman Islands,2030,73334,1.05 %,747,,,,306,96.9 %,71059,0 %,8548487400,205
Cayman Islands,2035,76819,0.93 %,697,,,,320,96.6 %,74215,0 %,8887524213,204
Cayman Islands,2040,79969,0.81 %,630,,,,333,96.3 %,77006,0 %,9198847240,203
Cayman Islands,2045,82615,0.65 %,529,,,,344,96.1 %,79401,0 %,9481803274,203
Cayman Islands,2050,84655,0.49 %,408,,,,353,96.3 %,81488,0 %,9735033990,203
Central African Republic,2020,4829767,1.46 %,67319,-40000,17.6,4.75,8,43.0 %,2076534,0.06 %,7794798739,125
Central African Republic,2025,5338264,2.02 %,101699,-16000,18.6,4.75,9,45.9 %,2451673,0.07 %,8184437460,124
Central African Republic,2030,5942211,2.17 %,120789,-7000,19.6,4.75,10,49.1 %,2917639,0.07 %,8548487400,122
Central African Republic,2035,6577413,2.05 %,127040,-5000,20.6,4.75,11,52.5 %,3454676,0.07 %,8887524213,116
Central African Republic,2040,7205166,1.84 %,125551,-5000,21.6,4.75,12,56.1 %,4039450,0.08 %,9198847240,115
Central African Republic,2045,7813300,1.63 %,121627,-5000,22.8,4.75,13,59.7 %,4665212,0.08 %,9481803274,113
Central African Republic,2050,8400956,1.46 %,117531, ,24.0,4.75,13,63.4 %,5329336,0.09 %,9735033990,112
Chad,2020,16425864,3.08 %,462978,2000,16.6,5.8,13,23.3 %,3830260,0.21 %,7794798739,72
Chad,2025,18960529,2.91 %,506933,0,17.2,5.8,15,24.8 %,4700984,0.23 %,8184437460,70
Chad,2030,21690381,2.73 %,545970,-2000,18.0,5.8,17,26.8 %,5819271,0.25 %,8548487400,64
Chad,2035,24596920,2.55 %,581308,-2000,18.9,5.8,20,29.5 %,7245968,0.28 %,8887524213,62
Chad,2040,27642860,2.36 %,609188,-2000,19.8,5.8,22,32.4 %,8967814,0.30 %,9198847240,61
Chad,2045,30802500,2.19 %,631928,-2000,20.9,5.8,24,35.6 %,10957996,0.32 %,9481803274,62
Chad,2050,34031311,2.01 %,645762, ,22.0,5.8,27,38.8 %,13219846,0.35 %,9735033990,60
Channel Islands,2020,173863,1.00 %,1696,1351,42.6,1.5,915,29.8 %,51888,0.00 %,7794798739,190
Channel Islands,2025,179662,0.66 %,1160,836,43.6,1.5,946,29.9 %,53670,0.00 %,8184437460,190
Channel Islands,2030,184993,0.59 %,1066,836,44.8,1.5,974,30.3 %,56077,0.00 %,8548487400,190
Channel Islands,2035,189635,0.50 %,928,836,45.7,1.5,998,31.2 %,59117,0.00 %,8887524213,190
Channel Islands,2040,193544,0.41 %,782,836,46.6,1.5,1019,32.4 %,62801,0.00 %,9198847240,189
Channel Islands,2045,196794,0.33 %,650,836,47.2,1.5,1036,34.0 %,66966,0.00 %,9481803274,189
Channel Islands,2050,199421,0.27 %,525, ,47.6,1.5,1050,35.7 %,71096,0.00 %,9735033990,189
Chile,2020,19116201,1.25 %,229370,111708,35.3,1.65,26,84.8 %,16205574,0.25 %,7794798739,63
Chile,2025,19240993,0.13 %,24958,-72000,37.7,1.65,26,87.6 %,16850412,0.24 %,8184437460,66
Chile,2030,19458103,0.22 %,43422,-28800,39.8,1.65,26,89.7 %,17445524,0.23 %,8548487400,70
Chile,2035,19879425,0.43 %,84264,32000,41.8,1.65,27,90.4 %,17962170,0.22 %,8887524213,70
Chile,2040,20156644,0.28 %,55444,24000,43.5,1.65,27,91.3 %,18407343,0.22 %,9198847240,73
Chile,2045,20296679,0.14 %,28007,16000,45.0,1.65,27,92.5 %,18767601,0.21 %,9481803274,76
Chile,2050,20319307,0.02 %,4526, ,46.1,1.65,27,93.6 %,19027962,0.21 %,9735033990,76
China,2020,1439323776,0.46 %,6495181,-348399,38.4,1.69,153,60.8 %,875075919,18.47 %,7794798739,1
China,2025,1457908249,0.26 %,3716895,-371264,40.2,1.69,155,65.6 %,956553854,17.81 %,8184437460,1
China,2030,1464340159,0.09 %,1286382,-352100,42.6,1.69,156,69.5 %,1017847445,17.13 %,8548487400,2
China,2035,1461083029,-0.04 %,-651426,-311798,45.0,1.69,156,72.5 %,1059618626,16.44 %,8887524213,2
China,2040,1449031423,-0.17 %,-2410321,-311801,46.3,1.69,154,74.8 %,1083464035,15.75 %,9198847240,2
China,2045,1429312248,-0.27 %,-3943835,-311081,47.2,1.69,152,76.4 %,1092037409,15.07 %,9481803274,2
China,2050,1402405170,-0.38 %,-5381416, ,47.6,1.69,149,77.9 %,1091948003,14.41 %,9735033990,2
Colombia,2020,50882891,1.38 %,672445,204796,31.3,1.82,46,80.4 %,40891996,0.65 %,7794798739,29
Colombia,2025,52007051,0.44 %,224832,-178671,33.6,1.82,47,82.7 %,43010759,0.64 %,8184437460,28
Colombia,2030,53416763,0.54 %,281942,-39600,35.8,1.82,48,83.9 %,44804187,0.62 %,8548487400,30
Colombia,2035,54549151,0.42 %,226478,-21716,38.0,1.82,49,84.8 %,46258436,0.61 %,8887524213,30
Colombia,2040,55336026,0.29 %,157375,-19544,40.1,1.82,50,85.6 %,47377278,0.60 %,9198847240,33
Colombia,2045,55797222,0.17 %,92239,-17608,42.1,1.82,50,86.3 %,48164021,0.59 %,9481803274,35
Colombia,2050,55957824,0.06 %,32120, ,43.9,1.82,50,86.9 %,48628586,0.57 %,9735033990,35
Comoros,2020,869601,2.27 %,18435,-2000,20.4,4.24,467,29.4 %,255487,0.01 %,7794798739,163
Comoros,2025,965003,2.10 %,19080,-2000,21.2,4.24,519,30.7 %,296345,0.01 %,8184437460,161
Comoros,2030,1063114,1.96 %,19622,-2000,22.1,4.24,571,32.5 %,345321,0.01 %,8548487400,161
Comoros,2035,1163802,1.83 %,20138,-2000,23.1,4.24,625,34.5 %,401157,0.01 %,8887524213,161
Comoros,2040,1266331,1.70 %,20506,-2000,24.1,4.24,680,36.5 %,462325,0.01 %,9198847240,159
Comoros,2045,1369592,1.58 %,20652,-2000,25.1,4.24,736,38.6 %,528510,0.01 %,9481803274,157
Comoros,2050,1471737,1.45 %,20429, ,26.1,4.24,791,40.7 %,599041,0.02 %,9735033990,156
Congo,2020,5518087,2.59 %,132398,-4000,19.2,4.45,16,69.9 %,3857353,0.07 %,7794798739,117
Congo,2025,6234724,2.47 %,143327,-2000,19.8,4.45,18,72.6 %,4524254,0.08 %,8184437460,114
Congo,2030,7019831,2.40 %,157021,-1001,20.7,4.45,21,75.4 %,5290114,0.08 %,8548487400,110
Congo,2035,7871210,2.32 %,170276,-1001,21.6,4.45,23,78.2 %,6155655,0.09 %,8887524213,109
Congo,2040,8776648,2.20 %,181088,-1001,22.3,4.45,26,81.0 %,7107743,0.10 %,9198847240,104
Congo,2045,9724082,2.07 %,189487,-1001,23.0,4.45,28,83.6 %,8127512,0.10 %,9481803274,98
Congo,2050,10701994,1.93 %,195582, ,23.6,4.45,31,86.0 %,9207524,0.11 %,9735033990,95
Cook Islands,2020,17564,-0.03 %,-4,,,,73,75.3 %,13223,0 %,7794798739,223
Cook Islands,2025,17544,-0.02 %,-4,,,,73,77.4 %,13571,0 %,8184437460,223
Cook Islands,2030,17524,-0.02 %,-4,,,,73,79.3 %,13903,0 %,8548487400,223
Cook Islands,2035,17480,-0.05 %,-9,,,,73,81.1 %,14182,0 %,8887524213,223
Cook Islands,2040,17396,-0.1 %,-17,,,,72,82.9 %,14421,0 %,9198847240,223
Cook Islands,2045,17255,-0.16 %,-28,,,,72,84.9 %,14653,0 %,9481803274,223
Cook Islands,2050,17081,-0.2 %,-35,,,,71,87 %,14863,0 %,9735033990,223
Costa Rica,2020,5094118,1.00 %,49263,4200,33.5,1.76,100,80.0 %,4074214,0.07 %,7794798739,122
Costa Rica,2025,5302111,0.80 %,41599,3800,35.8,1.76,104,82.8 %,4390911,0.06 %,8184437460,123
Costa Rica,2030,5468038,0.62 %,33185,3200,38.1,1.76,107,85.0 %,4647468,0.06 %,8548487400,124
Costa Rica,2035,5598031,0.47 %,25999,2600,40.4,1.76,110,86.6 %,4846325,0.06 %,8887524213,124
Costa Rica,2040,5691983,0.33 %,18790,2000,42.4,1.76,111,87.8 %,4996908,0.06 %,9198847240,123
Costa Rica,2045,5749468,0.20 %,11497,1400,44.3,1.76,113,89.0 %,5116679,0.06 %,9481803274,122
Costa Rica,2050,5772699,0.08 %,4646, ,45.8,1.76,113,90.2 %,5204720,0.06 %,9735033990,124
Cote D Ivoire,2020,26378274,2.58 %,630426,-8000,18.9,4.68,83,51.3 %,13532312,0.34 %,7794798739,53
Cote D Ivoire,2025,29888176,2.53 %,701980,0,19.4,4.68,94,53.6 %,16021559,0.37 %,8184437460,53
Cote D Ivoire,2030,33712599,2.44 %,764885,6000,19.9,4.68,106,56.1 %,18912162,0.39 %,8548487400,54
Cote D Ivoire,2035,37782810,2.31 %,814042,6000,20.6,4.68,119,58.8 %,22230692,0.43 %,8887524213,50
Cote D Ivoire,2040,42082991,2.18 %,860036,6000,21.4,4.68,132,61.7 %,25979314,0.46 %,9198847240,46
Cote D Ivoire,2045,46588529,2.06 %,901108,6000,22.3,4.68,147,64.7 %,30128281,0.49 %,9481803274,41
Cote D Ivoire,2050,51263671,1.93 %,935028, ,23.1,4.68,161,67.6 %,34645580,0.53 %,9735033990,40
Croatia,2020,4105267,-0.61 %,-25521,-8001,44.3,1.45,73,57.7 %,2368833,0.05 %,7794798739,130
Croatia,2025,3994074,-0.55 %,-22239,-2000,45.6,1.45,71,59.5 %,2374884,0.05 %,8184437460,130
Croatia,2030,3877272,-0.59 %,-23360,-2000,47.0,1.45,69,61.7 %,2394105,0.05 %,8548487400,132
Croatia,2035,3756068,-0.63 %,-24241,-2000,48.3,1.45,67,64.5 %,2420914,0.04 %,8887524213,134
Croatia,2040,3629201,-0.68 %,-25373,-2000,49.4,1.45,65,67.4 %,2446110,0.04 %,9198847240,135
Croatia,2045,3498032,-0.73 %,-26234,-2000,50.1,1.45,63,70.4 %,2462036,0.04 %,9481803274,138
Croatia,2050,3364800,-0.77 %,-26646, ,50.9,1.45,60,73.3 %,2467982,0.03 %,9735033990,140
Cuba,2020,11326616,0.00 %,367,-14400,42.2,1.62,106,78.3 %,8873848,0.15 %,7794798739,83
Cuba,2025,11257035,-0.12 %,-13916,-11000,43.4,1.62,106,79.6 %,8957468,0.14 %,8184437460,84
Cuba,2030,11142328,-0.20 %,-22941,-6000,44.7,1.62,105,81.2 %,9047544,0.13 %,8548487400,87
Cuba,2035,10980993,-0.29 %,-32267,-6000,46.6,1.62,103,83.0 %,9112420,0.12 %,8887524213,90
Cuba,2040,10764754,-0.40 %,-43248,-6000,48.1,1.62,101,85.0 %,9151476,0.12 %,9198847240,94
Cuba,2045,10491852,-0.51 %,-54580,-6000,49.3,1.62,99,87.3 %,9155783,0.11 %,9481803274,96
Cuba,2050,10162396,-0.64 %,-65891, ,50.3,1.62,95,89.6 %,9101476,0.10 %,9735033990,97
Curaçao,2020,164093,0.53 %,849,515,41.6,1.76,370,88.7 %,145612,0.00 %,7794798739,192
Curaçao,2025,167687,0.43 %,719,515,42.0,1.76,378,89.3 %,149822,0.00 %,8184437460,192
Curaçao,2030,170704,0.36 %,603,515,42.4,1.76,384,90.1 %,153800,0.00 %,8548487400,192
Curaçao,2035,173059,0.27 %,471,515,42.9,1.76,390,91.0 %,157525,0.00 %,8887524213,192
Curaçao,2040,174641,0.18 %,316,515,43.6,1.76,393,92.2 %,160932,0.00 %,9198847240,192
Curaçao,2045,175485,0.10 %,169,515,44.4,1.76,395,93.4 %,163894,0.00 %,9481803274,192
Curaçao,2050,175722,0.03 %,47, ,45.3,1.76,396,94.8 %,166564,0.00 %,9735033990,192
Cyprus,2020,1207359,0.79 %,9275,5000,37.3,1.34,131,66.8 %,806754,0.02 %,7794798739,158
Cyprus,2025,1244676,0.61 %,7463,5000,39.5,1.34,135,67.3 %,838047,0.02 %,8184437460,158
Cyprus,2030,1274972,0.48 %,6059,5000,41.6,1.34,138,68.5 %,872761,0.01 %,8548487400,159
Cyprus,2035,1301056,0.41 %,5217,5000,43.5,1.34,141,70.1 %,911686,0.01 %,8887524213,157
Cyprus,2040,1323767,0.35 %,4542,5000,45.1,1.34,143,72.1 %,954053,0.01 %,9198847240,157
Cyprus,2045,1342020,0.27 %,3651,5000,46.6,1.34,145,74.1 %,994052,0.01 %,9481803274,158
Cyprus,2050,1354591,0.19 %,2514, ,47.9,1.34,147,76.0 %,1029826,0.01 %,9735033990,157
Czech Republic,2020,10708981,0.20 %,21517,22011,43.2,1.64,139,73.5 %,7875268,0.14 %,7794798739,86
Czech Republic,2025,10756696,0.09 %,9543,22011,45.1,1.64,139,73.9 %,7952770,0.13 %,8184437460,86
Czech Republic,2030,10744834,-0.02 %,-2372,22011,46.3,1.64,139,74.5 %,8009087,0.13 %,8548487400,88
Czech Republic,2035,10688923,-0.10 %,-11182,22011,47.3,1.64,138,75.3 %,8051501,0.12 %,8887524213,94
Czech Republic,2040,10625536,-0.12 %,-12677,22011,47.9,1.64,138,76.3 %,8109076,0.12 %,9198847240,96
Czech Republic,2045,10579387,-0.09 %,-9230,22011,47.7,1.64,137,77.4 %,8188419,0.11 %,9481803274,94
Czech Republic,2050,10545581,-0.06 %,-6761, ,46.9,1.64,137,78.3 %,8262436,0.11 %,9735033990,94
Democratic Republic Of The Congo,2020,89561403,3.27 %,2663372,23861,17.0,5.96,40,45.6 %,40848447,1.15 %,7794798739,16
Democratic Republic Of The Congo,2025,104133564,3.06 %,2914432,0,17.5,5.96,46,48.7 %,50722858,1.27 %,8184437460,15
Democratic Republic Of The Congo,2030,120046726,2.88 %,3182632,-15000,18.2,5.96,53,51.9 %,62343480,1.40 %,8548487400,15
Democratic Republic Of The Congo,2035,137336559,2.73 %,3457967,-15000,19.1,5.96,61,55.2 %,75772610,1.55 %,8887524213,12
Democratic Republic Of The Congo,2040,155725440,2.55 %,3677776,-15000,20.0,5.96,69,58.4 %,90960949,1.69 %,9198847240,10
Democratic Republic Of The Congo,2045,174895139,2.35 %,3833940,-15000,21.0,5.96,77,61.6 %,107740801,1.84 %,9481803274,10
Democratic Republic Of The Congo,2050,194488658,2.15 %,3918704, ,22.1,5.96,86,64.7 %,125931197,2.00 %,9735033990,10
Denmark,2020,5792202,0.36 %,20701,15200,42.3,1.76,137,88.2 %,5107903,0.07 %,7794798739,115
Denmark,2025,5900493,0.37 %,21658,15200,42.4,1.76,139,88.9 %,5248366,0.07 %,8184437460,116
Denmark,2030,6001867,0.34 %,20275,15200,42.3,1.76,141,89.8 %,5388666,0.07 %,8548487400,118
Denmark,2035,6083849,0.27 %,16396,15200,42.7,1.76,143,90.7 %,5516117,0.07 %,8887524213,121
Denmark,2040,6146589,0.21 %,12548,15200,43.4,1.76,145,91.6 %,5628838,0.07 %,9198847240,121
Denmark,2045,6197288,0.16 %,10140,15200,43.9,1.76,146,92.5 %,5731131,0.07 %,9481803274,121
Denmark,2050,6245374,0.15 %,9617, ,44.2,1.76,147,93.3 %,5829371,0.06 %,9735033990,121
Djibouti,2020,988000,1.57 %,14801,900,26.6,2.76,43,79.0 %,780538,0.01 %,7794798739,160
Djibouti,2025,1056061,1.34 %,13612,900,28.2,2.76,46,79.9 %,843657,0.01 %,8184437460,160
Djibouti,2030,1116724,1.12 %,12133,900,29.8,2.76,48,81.1 %,905821,0.01 %,8548487400,160
Djibouti,2035,1169978,0.94 %,10651,900,31.4,2.76,50,82.5 %,965276,0.01 %,8887524213,160
Djibouti,2040,1216929,0.79 %,9390,900,32.9,2.76,52,83.8 %,1019380,0.01 %,9198847240,161
Djibouti,2045,1258679,0.68 %,8350,900,34.2,2.76,54,84.8 %,1066788,0.01 %,9481803274,159
Djibouti,2050,1295373,0.58 %,7339, ,35.7,2.76,56,85.5 %,1107450,0.01 %,9735033990,159
Dominica,2020,71986,0.22 %,161,,,,96,74.1 %,53355,0 %,7794798739,204
Dominica,2025,72818,0.23 %,166,,,,97,76.4 %,55657,0 %,8184437460,204
Dominica,2030,73241,0.12 %,85,,,,98,78.6 %,57539,0 %,8548487400,204
Dominica,2035,73107,-0.04 %,-27,,,,97,80.6 %,58948,0 %,8887524213,205
Dominica,2040,72548,-0.15 %,-112,,,,97,82.7 %,60030,0 %,9198847240,205
Dominica,2045,71769,-0.22 %,-156,,,,96,84.8 %,60859,0 %,9481803274,206
Dominica,2050,70877,-0.25 %,-178,,,,95,86.6 %,61385,0 %,9735033990,206
Dominican Republic,2020,10847910,1.08 %,113246,-30000,28.0,2.36,225,84.5 %,9168876,0.14 %,7794798739,85
Dominican Republic,2025,11346146,0.90 %,99647,-29200,29.6,2.36,235,87.7 %,9950299,0.14 %,8184437460,85
Dominican Republic,2030,11770322,0.74 %,84835,-28000,31.3,2.36,244,90.2 %,10618075,0.14 %,8548487400,84
Dominican Republic,2035,12126064,0.60 %,71148,-26400,32.9,2.36,251,92.1 %,11170096,0.14 %,8887524213,84
Dominican Republic,2040,12416490,0.47 %,58085,-24800,34.4,2.36,257,93.5 %,11615620,0.13 %,9198847240,86
Dominican Republic,2045,12641738,0.36 %,45050,-23200,35.9,2.36,262,94.5 %,11952241,0.13 %,9481803274,87
Dominican Republic,2050,12795809,0.24 %,30814, ,37.5,2.36,265,95.4 %,12208878,0.13 %,9735033990,89
Ecuador,2020,17643054,1.71 %,286207,36400,27.9,2.44,71,63.0 %,11123641,0.23 %,7794798739,67
Ecuador,2025,18740538,1.21 %,219497,-21841,29.4,2.44,75,64.4 %,12062680,0.23 %,8184437460,69
Ecuador,2030,19818797,1.13 %,215652,-8736,31.1,2.44,80,65.8 %,13049370,0.23 %,8548487400,69
Ecuador,2035,20831901,1.00 %,202621,-4400,32.6,2.44,84,67.6 %,14077487,0.23 %,8887524213,69
Ecuador,2040,21762357,0.88 %,186091,-2684,34.1,2.44,88,69.5 %,15131597,0.24 %,9198847240,69
Ecuador,2045,22593794,0.75 %,166287,-2684,35.5,2.44,91,71.6 %,16183815,0.24 %,9481803274,69
Ecuador,2050,23316457,0.63 %,144533, ,37.0,2.44,94,73.7 %,17174029,0.24 %,9735033990,71
Egypt,2020,102334404,2.05 %,1978371,-38033,24.6,3.33,103,43.0 %,44041052,1.31 %,7794798739,14
Egypt,2025,111727822,1.77 %,1878684,-40000,25.1,3.33,112,43.3 %,48427431,1.37 %,8184437460,14
Egypt,2030,120831557,1.58 %,1820747,-40000,25.6,3.33,121,44.4 %,53613464,1.41 %,8548487400,14
Egypt,2035,130340364,1.53 %,1901761,-30000,26.2,3.33,131,46.0 %,59988198,1.47 %,8887524213,14
Egypt,2040,140350381,1.49 %,2002003,-30000,27.3,3.33,141,48.3 %,67730752,1.53 %,9198847240,13
Egypt,2045,150355053,1.39 %,2000934,-30000,28.5,3.33,151,50.8 %,76439477,1.59 %,9481803274,12
Egypt,2050,159956808,1.25 %,1920351, ,29.7,3.33,161,53.3 %,85320777,1.64 %,9735033990,11
El Salvador,2020,6486205,0.50 %,32216,-40539,27.6,2.05,313,73.4 %,4758508,0.08 %,7794798739,112
El Salvador,2025,6642932,0.48 %,31345,-34065,29.5,2.05,321,76.6 %,5085472,0.08 %,8184437460,111
El Salvador,2030,6778586,0.41 %,27131,-28314,31.7,2.05,327,79.2 %,5370962,0.08 %,8548487400,111
El Salvador,2035,6868810,0.26 %,18045,-27102,33.8,2.05,332,81.4 %,5594549,0.08 %,8887524213,113
El Salvador,2040,6931498,0.18 %,12538,-23251,35.7,2.05,335,83.2 %,5769688,0.08 %,9198847240,116
El Salvador,2045,6953452,0.06 %,4391,-23250,37.5,2.05,336,84.8 %,5894454,0.07 %,9481803274,116
El Salvador,2050,6936786,-0.05 %,-3333, ,39.3,2.05,335,86.3 %,5983999,0.07 %,9735033990,116
Equatorial Guinea,2020,1402985,3.72 %,46883,16000,22.3,4.55,50,73.3 %,1027990,0.02 %,7794798739,153
Equatorial Guinea,2025,1637212,3.14 %,46845,12000,22.3,4.55,58,75.3 %,1232213,0.02 %,8184437460,153
Equatorial Guinea,2030,1873549,2.73 %,47267,9000,22.7,4.55,67,77.1 %,1444719,0.02 %,8548487400,152
Equatorial Guinea,2035,2105966,2.37 %,46483,5999,23.4,4.55,75,78.8 %,1660076,0.02 %,8887524213,150
Equatorial Guinea,2040,2345656,2.18 %,47938,5999,24.2,4.55,84,80.4 %,1886245,0.03 %,9198847240,149
Equatorial Guinea,2045,2585388,1.97 %,47946,5000,25.1,4.55,92,81.9 %,2118585,0.03 %,9481803274,148
Equatorial Guinea,2050,2820925,1.76 %,47107, ,26.2,4.55,101,83.5 %,2355543,0.03 %,9735033990,144
Eritrea,2020,3546421,1.19 %,40721,-39858,19.2,4.1,35,63.3 %,2246038,0.05 %,7794798739,133
Eritrea,2025,3865963,1.74 %,63908,-16000,19.9,4.1,38,69.8 %,2698752,0.05 %,8184437460,133
Eritrea,2030,4240213,1.87 %,74850,-10000,21.5,4.1,42,75.7 %,3210132,0.05 %,8548487400,130
Eritrea,2035,4664362,1.93 %,84830,-7000,22.8,4.1,46,81.1 %,3781931,0.05 %,8887524213,130
Eritrea,2040,5113555,1.86 %,89839,-7000,23.9,4.1,51,86.2 %,4406917,0.06 %,9198847240,130
Eritrea,2045,5566811,1.71 %,90651,-7000,24.9,4.1,55,91.2 %,5076734,0.06 %,9481803274,128
Eritrea,2050,6005490,1.53 %,87736, ,26.0,4.1,59,96.2 %,5776366,0.06 %,9735033990,122
Estonia,2020,1326535,0.17 %,2242,3911,42.4,1.59,31,67.9 %,900365,0.02 %,7794798739,155
Estonia,2025,1306651,-0.30 %,-3977,-1000,43.6,1.59,31,68.8 %,899102,0.02 %,8184437460,156
Estonia,2030,1279962,-0.41 %,-5338,-1000,45.0,1.59,30,69.9 %,895321,0.01 %,8548487400,156
Estonia,2035,1249350,-0.48 %,-6122,-1000,46.8,1.59,29,71.4 %,891420,0.01 %,8887524213,159
Estonia,2040,1218696,-0.50 %,-6131,-1000,48.3,1.59,29,73.0 %,889581,0.01 %,9198847240,160
Estonia,2045,1188919,-0.49 %,-5955,-1000,49.1,1.59,28,74.7 %,888618,0.01 %,9481803274,161
Estonia,2050,1158408,-0.52 %,-6102, ,48.2,1.59,27,76.4 %,885226,0.01 %,9735033990,162
Ethiopia,2020,114963588,2.66 %,2825626,30000,19.5,4.3,115,21.3 %,24463423,1.47 %,7794798739,12
Ethiopia,2025,129749455,2.45 %,2957173,-12000,20.6,4.3,130,23.5 %,30487323,1.59 %,8184437460,11
Ethiopia,2030,144944299,2.24 %,3038969,-12000,21.8,4.3,145,25.9 %,37495720,1.70 %,8548487400,10
Ethiopia,2035,160230922,2.03 %,3057325,-12000,23.0,4.3,160,28.4 %,45488077,1.80 %,8887524213,9
Ethiopia,2040,175465979,1.83 %,3047011,-12000,24.3,4.3,175,31.0 %,54394212,1.91 %,9198847240,9
Ethiopia,2045,190610533,1.67 %,3028911,-12000,25.8,4.3,191,33.6 %,64087447,2.01 %,9481803274,9
Ethiopia,2050,205410675,1.51 %,2960028, ,27.3,4.3,205,36.3 %,74536815,2.11 %,9735033990,8
Faeroe Islands,2020,48863,0.34 %,162,,,,35,43.3 %,21155,0 %,7794798739,212
Faeroe Islands,2025,49819,0.39 %,191,,,,36,44.4 %,22123,0 %,8184437460,212
Faeroe Islands,2030,50913,0.44 %,219,,,,36,45.8 %,23311,0 %,8548487400,212
Faeroe Islands,2035,51926,0.39 %,203,,,,37,47.5 %,24668,0 %,8887524213,212
Faeroe Islands,2040,52680,0.29 %,151,,,,38,49.6 %,26105,0 %,9198847240,212
Faeroe Islands,2045,53140,0.17 %,92,,,,38,51.9 %,27584,0 %,9481803274,213
Faeroe Islands,2050,53466,0.12 %,65,,,,38,54.2 %,28992,0 %,9735033990,213
Falkland Islands Malvinas,2020,3480,4.19 %,129,,,,0,66 %,2296,0 %,7794798739,232
Falkland Islands Malvinas,2025,3466,-0.08 %,-3,,,,0,68 %,2358,0 %,8184437460,232
Falkland Islands Malvinas,2030,3436,-0.17 %,-6,,,,0,69.8 %,2399,0 %,8548487400,232
Falkland Islands Malvinas,2035,3389,-0.28 %,-9,,,,0,71.5 %,2422,0 %,8887524213,232
Falkland Islands Malvinas,2040,3339,-0.3 %,-10,,,,0,73.1 %,2440,0 %,9198847240,232
Falkland Islands Malvinas,2045,3291,-0.29 %,-10,,,,0,74.4 %,2448,0 %,9481803274,232
Falkland Islands Malvinas,2050,3243,-0.29 %,-10,,,,0,75.8 %,2457,0 %,9735033990,232
Fiji,2020,896445,0.63 %,5564,-6202,27.9,2.79,49,59.1 %,529489,0.01 %,7794798739,161
Fiji,2025,929986,0.74 %,6708,-3414,28.7,2.79,51,61.0 %,567088,0.01 %,8184437460,162
Fiji,2030,966015,0.76 %,7206,-1707,29.3,2.79,53,62.2 %,601227,0.01 %,8548487400,162
Fiji,2035,998382,0.66 %,6473,-1707,29.8,2.79,55,63.3 %,631830,0.01 %,8887524213,162
Fiji,2040,1026886,0.56 %,5701,-1707,30.6,2.79,56,64.1 %,658281,0.01 %,9198847240,163
Fiji,2045,1051130,0.47 %,4849,-1707,31.6,2.79,58,64.7 %,680099,0.01 %,9481803274,163
Fiji,2050,1071255,0.38 %,4025, ,32.7,2.79,59,65.1 %,697673,0.01 %,9735033990,163
