country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Caribbean Netherlands,2016,25020,1.83 %,450,76,74.8 %,18712,0 %,7464022049,221,,,
Caribbean Netherlands,2015,24570,3.25 %,726,75,74.8 %,18368,0 %,7379797139,221,,,
Caribbean Netherlands,2010,20940,7.77 %,1307,64,74.7 %,15650,0 %,6956823603,221,,,
Caribbean Netherlands,2005,14403,0.01 %,2,44,74.8 %,10767,0 %,6541907027,224,,,
Caribbean Netherlands,2000,14393,-0.96 %,-143,44,74.9 %,10787,0 %,6143493823,224,,,
Caribbean Netherlands,1995,15107,3.02 %,418,46,76.4 %,11548,0 %,5744212979,223,,,
Caribbean Netherlands,1990,13019,1.6 %,199,40,77.7 %,10111,0 %,5327231061,223,,,
Caribbean Netherlands,1985,12025,1.41 %,163,37,78.4 %,9427,0 %,4870921740,222,,,
Caribbean Netherlands,1980,11210,0.33 %,37,34,79 %,8851,0 %,4458003514,223,,,
Caribbean Netherlands,1975,11027,1.26 %,134,34,78.4 %,8641,0 %,4079480606,220,,,
Caribbean Netherlands,1970,10359,2.55 %,245,32,77.5 %,8026,0 %,3700437046,219,,,
Caribbean Netherlands,1965,9134,2.5 %,212,28,61 %,5568,0 %,3339583597,220,,,
Caribbean Netherlands,1960,8074,1.03 %,81,25,74.3 %,5999,0 %,3034949748,220,,,
Caribbean Netherlands,1955,7670,1.49 %,110,23,72.6 %,5568,0 %,2773019936,220,,,
Cayman Islands,2019,64948,1.21 %,774,271,97.2 %,63129,0.00 %,7713468100,205,,,
Cayman Islands,2018,64174,1.25 %,792,267,97.2 %,62348,0.00 %,7631091040,205,,,
Cayman Islands,2017,63382,1.3 %,813,264,97.1 %,61559,0.00 %,7547858925,205,,,
Cayman Islands,2016,62569,1.37 %,845,261,97.1 %,60765,0 %,7464022049,206,,,
Cayman Islands,2015,61724,1.72 %,1010,257,97.1 %,59963,0 %,7379797139,206,,,
Cayman Islands,2010,56672,2.84 %,1482,236,97.9 %,55507,0 %,6956823603,206,,,
Cayman Islands,2005,49261,3.09 %,1392,205,98.7 %,48622,0 %,6541907027,210,,,
Cayman Islands,2000,42303,5.63 %,2027,176,98.5 %,41687,0 %,6143493823,212,,,
Cayman Islands,1995,32166,4.91 %,1371,134,98.5 %,31672,0 %,5744212979,212,,,
Cayman Islands,1990,25312,5.39 %,1169,105,98.8 %,25010,0 %,5327231061,217,,,
Cayman Islands,1985,19467,3.73 %,651,81,99.2 %,19313,0 %,4870921740,216,,,
Cayman Islands,1980,16212,5.77 %,794,68,99.7 %,16162,0 %,4458003514,217,,,
Cayman Islands,1975,12244,6.01 %,620,51,N.A.,N.A.,0 %,4079480606,218,,,
Cayman Islands,1970,9144,1.79 %,155,38,N.A.,N.A.,0 %,3700437046,221,,,
Cayman Islands,1965,8369,1.25 %,101,35,79.8 %,6677,0 %,3339583597,222,,,
Cayman Islands,1960,7865,3.33 %,238,33,N.A.,N.A.,0 %,3034949748,222,,,
Cayman Islands,1955,6677,0.8 %,52,28,N.A.,N.A.,0 %,2773019936,222,,,
Central African Republic,2020,4829767,1.78 %,84582,-40000,17.6,4.75,8,43.0 %,2076534,0.06 %,7794798739.0,125.0
Central African Republic,2019,4745185,1.69 %,78817,-40000,17.2,5.03,8,42.5 %,2015708,0.06 %,7713468100.0,126.0
Central African Republic,2018,4666368,1.53 %,70345,-40000,17.2,5.03,7,42.0 %,1959587,0.06 %,7631091040.0,126.0
Central African Republic,2017,4596023,1.29 %,58337,-40000,17.2,5.03,7,41.5 %,1909283,0.06 %,7547858925.0,126.0
Central African Republic,2016,4537686,0.99 %,44516,-40000,17.2,5.03,7,41.1 %,1866228,0.06 %,7464022049.0,125.0
Central African Republic,2015,4493170,0.48 %,21280,-79226,17.1,5.1,7,40.8 %,1831054,0.06 %,7379797139.0,124.0
Central African Republic,2010,4386768,1.67 %,69677,-25123,17.7,5.3,7,39.5 %,1730652,0.06 %,6956823603.0,121.0
Central African Republic,2005,4038382,2.10 %,79591,-4881,18.0,5.45,6,38.9 %,1571461,0.06 %,6541907027.0,125.0
Central African Republic,2000,3640427,2.47 %,83554,6000,18.1,5.55,6,38.8 %,1413327,0.06 %,6143493823.0,126.0
Central African Republic,1995,3222656,2.80 %,83184,10000,18.2,5.7,5,38.7 %,1248262,0.06 %,5744212979.0,128.0
Central African Republic,1990,2806734,2.00 %,52913,-16000,18.1,5.9,5,38.6 %,1082570,0.05 %,5327231061.0,129.0
Central African Republic,1985,2542169,2.94 %,68563,8000,18.8,5.9,4,36.8 %,935996,0.05 %,4870921740.0,131.0
Central African Republic,1980,2199356,2.35 %,48198,-200,18.8,5.9,4,35.1 %,772263,0.05 %,4458003514.0,131.0
Central African Republic,1975,1958367,1.58 %,29445,-10000,19.1,5.95,3,32.9 %,644978,0.05 %,4079480606.0,132.0
Central African Republic,1970,1811144,2.01 %,34288,2629,20.1,5.95,3,27.8 %,502752,0.05 %,3700437046.0,131.0
Central African Republic,1965,1639706,1.77 %,27608,2386,21.0,5.9,3,23.6 %,387790,0.05 %,3339583597.0,128.0
Central African Republic,1960,1501668,1.39 %,20065,0,21.7,5.75,2,20.1 %,302205,0.05 %,3034949748.0,130.0
Central African Republic,1955,1401341,1.10 %,14938,0,22.3,5.52,2,17.0 %,238917,0.05 %,2773019936.0,128.0
Chad,2020,16425864,3.00 %,478988,2000,16.6,5.8,13,23.3 %,3830260,0.21 %,7794798739.0,72.0
Chad,2019,15946876,3.03 %,469147,2000,16.1,6.2,13,23.1 %,3681488,0.21 %,7713468100.0,72.0
Chad,2018,15477729,3.07 %,460976,2000,16.1,6.2,12,22.9 %,3540279,0.20 %,7631091040.0,72.0
Chad,2017,15016753,3.13 %,455093,2000,16.1,6.2,12,22.7 %,3405873,0.20 %,7547858925.0,72.0
Chad,2016,14561660,3.19 %,450685,2000,16.1,6.2,12,22.5 %,3277402,0.20 %,7464022049.0,72.0
Chad,2015,14110975,3.38 %,431768,20000,16.0,6.31,11,22.4 %,3154216,0.19 %,7379797139.0,72.0
Chad,2010,11952136,3.43 %,371101,15000,15.6,6.85,9,21.9 %,2613400,0.17 %,6956823603.0,74.0
Chad,2005,10096633,3.86 %,348196,43793,15.4,7.24,8,21.7 %,2194746,0.15 %,6541907027.0,80.0
Chad,2000,8355654,3.57 %,269102,13889,15.5,7.41,7,21.6 %,1805052,0.14 %,6143493823.0,87.0
Chad,1995,7010145,3.29 %,209379,-2075,15.8,7.39,6,21.4 %,1503250,0.12 %,5744212979.0,91.0
Chad,1990,5963252,3.20 %,173570,284,16.2,7.21,5,20.8 %,1239707,0.11 %,5327231061.0,93.0
Chad,1985,5095401,2.45 %,116194,-26249,16.8,7.04,4,19.8 %,1007073,0.10 %,4870921740.0,98.0
Chad,1980,4514430,2.00 %,85173,-35100,17.5,6.87,4,18.8 %,847659,0.10 %,4458003514.0,100.0
Chad,1975,4088564,2.33 %,88992,-9810,18.2,6.67,3,15.6 %,636342,0.10 %,4079480606.0,99.0
Chad,1970,3643604,1.94 %,66804,-8190,18.6,6.4,3,11.6 %,421481,0.10 %,3700437046.0,101.0
Chad,1965,3309586,1.97 %,61595,-1000,19.2,6.3,3,8.4 %,278207,0.10 %,3339583597.0,98.0
Chad,1960,3001609,1.88 %,53282,-500,19.9,6.2,2,6.7 %,200952,0.10 %,3034949748.0,100.0
Chad,1955,2735198,1.80 %,46576,0,20.7,6.1,2,5.5 %,150299,0.10 %,2773019936.0,98.0
Channel Islands,2020,173863,0.93 %,1604,1351,42.6,1.5,915,29.8 %,51888,0.00 %,7794798739.0,190.0
Channel Islands,2019,172259,1.03 %,1760,1351,41.8,1.57,907,30.0 %,51601,0.00 %,7713468100.0,190.0
Channel Islands,2018,170499,1.09 %,1834,1351,41.8,1.57,897,30.1 %,51343,0.00 %,7631091040.0,190.0
Channel Islands,2017,168665,1.04 %,1742,1351,41.8,1.57,888,30.3 %,51105,0.00 %,7547858925.0,190.0
Channel Islands,2016,166923,0.93 %,1538,1351,41.8,1.57,879,30.5 %,50893,0.00 %,7464022049.0,190.0
Channel Islands,2015,165385,0.70 %,1130,714,41.6,1.58,870,30.7 %,50703,0.00 %,7379797139.0,190.0
Channel Islands,2010,159734,1.04 %,1611,1194,41.0,1.56,841,31.0 %,49556,0.00 %,6956823603.0,190.0
Channel Islands,2005,151678,0.43 %,647,303,39.8,1.47,798,31.3 %,47434,0.00 %,6541907027.0,191.0
Channel Islands,2000,148443,0.68 %,992,458,38.2,1.58,781,30.5 %,45309,0.00 %,6143493823.0,190.0
Channel Islands,1995,143484,0.40 %,563,234,36.8,1.52,755,30.6 %,43965,0.00 %,5744212979.0,189.0
Channel Islands,1990,140671,1.01 %,1373,1217,36.0,1.45,740,31.4 %,44159,0.00 %,5327231061.0,187.0
Channel Islands,1985,133808,0.86 %,1119,1076,35.8,1.44,704,31.8 %,42594,0.00 %,4870921740.0,186.0
Channel Islands,1980,128212,0.28 %,359,345,34.9,1.52,675,32.2 %,41296,0.00 %,4458003514.0,186.0
Channel Islands,1975,126415,0.85 %,1044,850,34.5,1.86,665,34.2 %,43213,0.00 %,4079480606.0,185.0
Channel Islands,1970,121197,1.06 %,1240,776,35.2,2.36,638,36.1 %,43738,0.00 %,3700437046.0,181.0
Channel Islands,1965,114995,1.00 %,1115,587,36.1,2.56,605,37.4 %,42991,0.00 %,3339583597.0,174.0
Channel Islands,1960,109420,0.71 %,762,450,36.6,2.22,576,38.7 %,42346,0.00 %,3034949748.0,176.0
Channel Islands,1955,105609,0.65 %,675,437,36.1,2.06,556,40.0 %,42278,0.00 %,2773019936.0,174.0
Chile,2020,19116201,0.87 %,164163,111708,35.3,1.65,26,84.8 %,16205574,0.25 %,7794798739.0,63.0
Chile,2019,18952038,1.19 %,222878,111708,34.1,1.81,25,84.8 %,16070807,0.25 %,7713468100.0,62.0
Chile,2018,18729160,1.40 %,258721,111708,34.1,1.81,25,85.1 %,15934214,0.25 %,7631091040.0,62.0
Chile,2017,18470439,1.44 %,261371,111708,34.1,1.81,25,85.5 %,15796168,0.24 %,7547858925.0,62.0
Chile,2016,18209068,1.33 %,239715,111708,34.1,1.81,24,86.0 %,15657149,0.24 %,7464022049.0,61.0
Chile,2015,17969353,1.04 %,181363,32746,33.8,1.85,24,86.4 %,15517478,0.24 %,7379797139.0,62.0
Chile,2010,17062536,1.06 %,175963,21434,32.2,1.9,23,86.7 %,14796864,0.25 %,6956823603.0,60.0
Chile,2005,16182721,1.07 %,168074,8466,30.5,1.95,22,86.6 %,14012965,0.25 %,6541907027.0,61.0
Chile,2000,15342353,1.30 %,192297,3868,28.7,2.2,21,85.6 %,13137147,0.25 %,6143493823.0,61.0
Chile,1995,14380866,1.61 %,221249,722,27.0,2.52,19,84.0 %,12087036,0.25 %,5744212979.0,57.0
Chile,1990,13274623,1.61 %,203477,-13730,25.7,2.6,18,83.1 %,11026799,0.25 %,5327231061.0,54.0
Chile,1985,12257236,1.43 %,167578,-30904,24.3,2.63,16,82.1 %,10064404,0.25 %,4870921740.0,55.0
Chile,1980,11419348,1.51 %,165408,-29660,22.9,2.94,15,80.2 %,9153051,0.26 %,4458003514.0,54.0
Chile,1975,10592307,1.60 %,161835,-32252,21.6,3.47,14,77.2 %,8179999,0.26 %,4079480606.0,53.0
Chile,1970,9783134,1.71 %,158703,-39300,20.6,4.08,13,73.5 %,7194621,0.26 %,3700437046.0,54.0
Chile,1965,8989621,2.02 %,171326,-29380,20.4,4.58,12,68.7 %,6178103,0.27 %,3339583597.0,53.0
Chile,1960,8132990,2.12 %,162068,-25822,20.6,4.75,11,64.4 %,5234614,0.27 %,3034949748.0,54.0
Chile,1955,7322652,2.10 %,144826,-24791,20.7,4.85,10,59.7 %,4368840,0.26 %,2773019936.0,53.0
China,2020,1439323776,0.39 %,5540090,-348399,38.4,1.69,153,60.8 %,875075919,18.47 %,7794798739.0,1.0
China,2019,1433783686,0.43 %,6135900,-348399,37.0,1.65,153,59.7 %,856409297,18.59 %,7713468100.0,1.0
China,2018,1427647786,0.47 %,6625995,-348399,37.0,1.65,152,58.6 %,837022095,18.71 %,7631091040.0,1.0
China,2017,1421021791,0.49 %,6972440,-348399,37.0,1.65,151,57.5 %,816957613,18.83 %,7547858925.0,1.0
China,2016,1414049351,0.51 %,7201481,-348399,37.0,1.65,151,56.3 %,796289491,18.94 %,7464022049.0,1.0
China,2015,1406847870,0.55 %,7607451,-310442,36.7,1.64,150,55.1 %,775352918,19.06 %,7379797139.0,1.0
China,2010,1368810615,0.57 %,7606847,-435677,35.0,1.62,146,48.9 %,669353557,19.68 %,6956823603.0,1.0
China,2005,1330776380,0.62 %,8045123,-393116,32.6,1.61,142,42.2 %,561983323,20.34 %,6541907027.0,1.0
China,2000,1290550765,0.79 %,9926046,-76600,30.0,1.62,137,35.7 %,460377048,21.01 %,6143493823.0,1.0
China,1995,1240920535,1.07 %,12807372,-155996,27.4,1.83,132,30.9 %,383901711,21.60 %,5744212979.0,1.0
China,1990,1176883674,1.82 %,20258863,-86330,24.9,2.73,125,26.3 %,310022147,22.09 %,5327231061.0,1.0
China,1985,1075589361,1.47 %,15100025,-40000,23.5,2.52,115,22.8 %,244946241,22.08 %,4870921740.0,1.0
China,1980,1000089235,1.55 %,14769670,-9401,21.9,3.01,107,19.2 %,192392094,22.43 %,4458003514.0,1.0
China,1975,926240885,2.28 %,19727898,-221096,20.3,4.85,99,17.3 %,160244444,22.70 %,4079480606.0,1.0
China,1970,827601394,2.70 %,20676485,-32000,19.3,6.3,88,17.3 %,143513192,22.36 %,3700437046.0,1.0
China,1965,724218968,1.86 %,12762182,-225145,19.8,6.15,77,18.0 %,130684595,21.69 %,3339583597.0,1.0
China,1960,660408056,1.53 %,9633300,-11900,21.3,5.48,70,16.1 %,106561743,21.76 %,3034949748.0,1.0
China,1955,612241554,2.00 %,11564456,-51205,22.2,6.11,65,13.8 %,84639825,22.08 %,2773019936.0,1.0
Colombia,2020,50882891,1.08 %,543448,204796,31.3,1.82,46,80.4 %,40891996,0.65 %,7794798739.0,29.0
Colombia,2019,50339443,1.37 %,678395,204796,29.8,1.9,45,80.3 %,40430278,0.65 %,7713468100.0,29.0
Colombia,2018,49661048,1.54 %,751209,204796,29.8,1.9,45,80.5 %,39956413,0.65 %,7631091040.0,29.0
Colombia,2017,48909839,1.53 %,734787,204796,29.8,1.9,44,80.7 %,39471097,0.65 %,7547858925.0,29.0
Colombia,2016,48175052,1.38 %,654385,204796,29.8,1.9,43,80.9 %,38975181,0.65 %,7464022049.0,29.0
Colombia,2015,47520667,1.00 %,459593,-38676,29.5,1.92,43,81.0 %,38469351,0.64 %,7379797139.0,29.0
Colombia,2010,45222700,1.18 %,514995,-39000,27.5,2.1,41,79.2 %,35799432,0.65 %,6956823603.0,29.0
Colombia,2005,42647723,1.48 %,603551,-46200,25.7,2.44,38,77.2 %,32907507,0.65 %,6541907027.0,29.0
Colombia,2000,39629968,1.70 %,641706,-51800,24.1,2.7,36,75.4 %,29881676,0.65 %,6143493823.0,29.0
Colombia,1995,36421438,1.93 %,663773,-57590,22.9,3.01,33,73.8 %,26874824,0.63 %,5744212979.0,30.0
Colombia,1990,33102575,2.02 %,630275,-64800,21.9,3.17,30,71.9 %,23812185,0.62 %,5327231061.0,30.0
Colombia,1985,29951201,2.17 %,610139,-74194,20.5,3.58,27,69.4 %,20788244,0.61 %,4870921740.0,30.0
Colombia,1980,26900506,2.25 %,567000,-83870,19.1,4.16,24,65.7 %,17679604,0.60 %,4458003514.0,30.0
Colombia,1975,24065507,2.30 %,517088,-76084,17.8,4.72,22,62.0 %,14930011,0.59 %,4079480606.0,30.0
Colombia,1970,21480065,2.78 %,550964,-67727,16.7,5.86,19,58.2 %,12494401,0.58 %,3700437046.0,30.0
Colombia,1965,18725245,3.12 %,533504,-61313,16.2,6.64,17,54.0 %,10111908,0.56 %,3339583597.0,32.0
Colombia,1960,16057724,3.11 %,456545,-46559,16.7,6.68,14,47.5 %,7625171,0.53 %,3034949748.0,32.0
Colombia,1955,13775000,2.83 %,358685,-41681,17.4,6.51,12,40.5 %,5579539,0.50 %,2773019936.0,32.0
Comoros,2020,869601,2.20 %,18715,-2000,20.4,4.24,467,29.4 %,255487,0.01 %,7794798739.0,163.0
Comoros,2019,850886,2.23 %,18564,-2000,19.8,4.52,457,29.2 %,248160,0.01 %,7713468100.0,163.0
Comoros,2018,832322,2.26 %,18430,-2000,19.8,4.52,447,29.0 %,241092,0.01 %,7631091040.0,163.0
Comoros,2017,813892,2.30 %,18300,-2000,19.8,4.52,437,28.8 %,234273,0.01 %,7547858925.0,163.0
Comoros,2016,795592,2.34 %,18168,-2000,19.8,4.52,428,28.6 %,227690,0.01 %,7464022049.0,163.0
Comoros,2015,777424,2.42 %,17546,-2000,19.7,4.6,418,28.5 %,221334,0.01 %,7379797139.0,163.0
Comoros,2010,689692,2.43 %,15613,-2000,19.1,4.9,371,28.0 %,192925,0.01 %,6956823603.0,164.0
Comoros,2005,611627,2.43 %,13854,-2000,18.4,5.2,329,27.9 %,170493,0.01 %,6541907027.0,166.0
Comoros,2000,542357,2.67 %,13393,-1200,17.7,5.6,291,28.1 %,152293,0.01 %,6143493823.0,166.0
Comoros,1995,475394,2.92 %,12760,-600,17.1,6.1,255,28.3 %,134543,0.01 %,5744212979.0,166.0
Comoros,1990,411594,2.98 %,11251,-900,17.0,6.7,221,27.9 %,114709,0.01 %,5327231061.0,166.0
Comoros,1985,355337,2.91 %,9502,-900,17.2,7.05,191,25.5 %,90500,0.01 %,4870921740.0,167.0
Comoros,1980,307829,3.65 %,10108,2000,17.5,7.05,165,23.2 %,71463,0.01 %,4458003514.0,169.0
Comoros,1975,257290,2.26 %,5447,-1100,17.5,7.05,138,21.2 %,54647,0.01 %,4079480606.0,169.0
Comoros,1970,230054,2.09 %,4526,-1100,17.7,7.05,124,19.4 %,44607,0.01 %,3700437046.0,171.0
Comoros,1965,207424,1.65 %,3261,-1698,18.5,6.91,111,17.0 %,35217,0.01 %,3339583597.0,170.0
Comoros,1960,191121,1.67 %,3044,-1223,19.6,6.6,103,12.6 %,23988,0.01 %,3034949748.0,169.0
Comoros,1955,175903,1.98 %,3289,0,20.6,6.0,95,9.1 %,16095,0.01 %,2773019936.0,170.0
Congo,2020,5518087,2.56 %,137579,-4000,19.2,4.45,16,69.9 %,3857353,0.07 %,7794798739.0,117.0
Congo,2019,5380508,2.60 %,136149,-4000,19.0,4.65,16,69.4 %,3733933,0.07 %,7713468100.0,118.0
Congo,2018,5244359,2.62 %,133664,-4000,19.0,4.65,15,68.9 %,3613400,0.07 %,7631091040.0,119.0
Congo,2017,5110695,2.60 %,129699,-4000,19.0,4.65,15,68.4 %,3496228,0.07 %,7547858925.0,119.0
Congo,2016,4980996,2.57 %,124901,-4000,19.0,4.65,15,67.9 %,3383087,0.07 %,7464022049.0,119.0
Congo,2015,4856095,2.59 %,116473,-12000,18.9,4.7,14,67.4 %,3274286,0.07 %,7379797139.0,119.0
Congo,2010,4273731,3.36 %,130191,18354,19.2,4.8,13,64.9 %,2774827,0.06 %,6956823603.0,124.0
Congo,2005,3622775,2.98 %,99073,10297,18.9,4.85,11,62.6 %,2267680,0.06 %,6541907027.0,128.0
Congo,2000,3127411,2.93 %,83975,9860,18.6,4.9,9,60.5 %,1893340,0.05 %,6143493823.0,132.0
Congo,1995,2707537,2.81 %,70160,4506,18.0,5.0,8,58.3 %,1579132,0.05 %,5744212979.0,132.0
Congo,1990,2356737,2.78 %,60485,400,17.4,5.3,7,56.3 %,1325761,0.04 %,5327231061.0,134.0
Congo,1985,2054312,2.93 %,55276,420,17.0,5.8,6,54.1 %,1111137,0.04 %,4870921740.0,135.0
Congo,1980,1777934,2.96 %,48256,-1481,16.9,6.25,5,49.5 %,880532,0.04 %,4458003514.0,137.0
Congo,1975,1536654,2.98 %,41954,0,17.3,6.3,4,44.8 %,687909,0.04 %,4079480606.0,137.0
Congo,1970,1326885,2.81 %,34299,0,17.8,6.19,4,40.2 %,534042,0.04 %,3700437046.0,138.0
Congo,1965,1155392,2.56 %,27428,0,18.5,5.99,3,36.2 %,417746,0.03 %,3339583597.0,138.0
Congo,1960,1018253,2.25 %,21445,0,19.2,5.79,3,32.2 %,327769,0.03 %,3034949748.0,138.0
Congo,1955,911029,1.95 %,16755,0,19.7,5.68,3,28.4 %,258973,0.03 %,2773019936.0,138.0
Cook Islands,2019,17548,0.17 %,30,73,74.9 %,13144,0.00 %,7713468100,223,,,
Cook Islands,2018,17518,0.06 %,11,73,74.6 %,13067,0.00 %,7631091040,223,,,
Cook Islands,2017,17507,-0.1 %,-17,73,74.3 %,13006,0.00 %,7547858925,223,,,
Cook Islands,2016,17524,-0.35 %,-62,73,74 %,12968,0 %,7464022049,223,,,
Cook Islands,2015,17586,-0.89 %,-161,73,73.8 %,12983,0 %,7379797139,223,,,
Cook Islands,2010,18391,-0.73 %,-137,77,73.9 %,13585,0 %,6956823603,222,,,
Cook Islands,2005,19074,1.24 %,229,79,73.4 %,13999,0 %,6541907027,222,,,
Cook Islands,2000,17930,-1.25 %,-233,75,65.9 %,11814,0 %,6143493823,222,,,
Cook Islands,1995,19097,0.98 %,181,80,58.2 %,11123,0 %,5744212979,220,,,
Cook Islands,1990,18191,0.66 %,118,76,58.2 %,10594,0 %,5327231061,219,,,
Cook Islands,1985,17603,0.1 %,18,73,55.6 %,9789,0 %,4870921740,218,,,
Cook Islands,1980,17512,-2.85 %,-544,73,54.2 %,9492,0 %,4458003514,215,,,
Cook Islands,1975,20234,-1.02 %,-214,84,54.3 %,10990,0 %,4079480606,214,,,
Cook Islands,1970,21302,2.43 %,482,89,53.5 %,11406,0 %,3700437046,212,,,
Cook Islands,1965,18894,0.74 %,136,79,36.6 %,6907,0 %,3339583597,211,,,
Cook Islands,1960,18212,2.18 %,373,76,46.6 %,8485,0 %,3034949748,211,,,
Cook Islands,1955,16347,1.63 %,254,68,42.3 %,6907,0 %,2773019936,211,,,
Costa Rica,2020,5094118,0.92 %,46557,4200,33.5,1.76,100,80.0 %,4074214,0.07 %,7794798739.0,122.0
Costa Rica,2019,5047561,0.96 %,48120,4200,31.7,1.83,99,79.3 %,4003302,0.07 %,7713468100.0,120.0
Costa Rica,2018,4999441,1.00 %,49487,4200,31.7,1.83,98,78.6 %,3929845,0.07 %,7631091040.0,120.0
Costa Rica,2017,4949954,1.03 %,50609,4200,31.7,1.83,97,77.9 %,3853956,0.07 %,7547858925.0,120.0
Costa Rica,2016,4899345,1.06 %,51541,4200,31.7,1.83,96,77.1 %,3775780,0.07 %,7464022049.0,120.0
Costa Rica,2015,4847804,1.15 %,54085,3932,31.2,1.85,95,76.2 %,3695430,0.07 %,7379797139.0,120.0
Costa Rica,2010,4577378,1.33 %,58375,6068,29.1,1.94,90,71.2 %,3260590,0.07 %,6956823603.0,119.0
Costa Rica,2005,4285502,1.58 %,64626,8358,27.2,2.15,84,65.1 %,2789638,0.07 %,6541907027.0,119.0
Costa Rica,2000,3962372,2.25 %,83368,17905,25.3,2.61,78,58.5 %,2318040,0.06 %,6143493823.0,120.0
Costa Rica,1995,3545534,2.59 %,85220,13840,24.1,3.07,69,54.0 %,1915604,0.06 %,5744212979.0,124.0
Costa Rica,1990,3119433,2.65 %,76544,3483,23.0,3.41,61,49.6 %,1548102,0.06 %,5327231061.0,126.0
Costa Rica,1985,2736712,2.75 %,69347,3775,21.9,3.5,54,45.3 %,1240768,0.06 %,4870921740.0,127.0
Costa Rica,1980,2389977,2.68 %,59158,3485,20.5,3.7,47,43.1 %,1029757,0.05 %,4458003514.0,129.0
Costa Rica,1975,2094188,2.54 %,49359,2528,19.1,4.06,41,41.4 %,867261,0.05 %,4079480606.0,129.0
Costa Rica,1970,1847394,3.01 %,50911,1565,17.8,5.26,36,38.9 %,717853,0.05 %,3700437046.0,130.0
Costa Rica,1965,1592841,3.66 %,52412,1581,17.2,6.5,31,35.7 %,568941,0.05 %,3339583597.0,134.0
Costa Rica,1960,1330782,3.69 %,44139,1427,17.4,6.65,26,34.3 %,456615,0.04 %,3034949748.0,133.0
Costa Rica,1955,1110087,3.26 %,32878,982,18.1,6.12,22,34.2 %,379324,0.04 %,2773019936.0,134.0
Côte d'Ivoire,2020,26378274,2.57 %,661730,-8000,18.9,4.68,83,51.3 %,13532312,0.34 %,7794798739.0,53.0
Côte d'Ivoire,2019,25716544,2.58 %,647314,-8000,18.4,4.89,81,50.9 %,13081753,0.33 %,7713468100.0,53.0
Côte d'Ivoire,2018,25069230,2.59 %,631760,-8000,18.4,4.89,79,50.4 %,12646820,0.33 %,7631091040.0,54.0
Côte d'Ivoire,2017,24437470,2.58 %,614756,-8000,18.4,4.89,77,50.0 %,12226563,0.32 %,7547858925.0,55.0
Côte d'Ivoire,2016,23822714,2.57 %,596571,-8000,18.4,4.89,75,49.6 %,11819749,0.32 %,7464022049.0,55.0
Côte d'Ivoire,2015,23226143,2.50 %,538639,-16000,18.3,4.95,73,49.2 %,11425679,0.31 %,7379797139.0,56.0
Côte d'Ivoire,2010,20532950,2.27 %,435687,-40000,17.9,5.25,65,47.0 %,9655958,0.30 %,6956823603.0,56.0
Côte d'Ivoire,2005,18354514,2.21 %,379969,-60000,17.8,5.68,58,45.2 %,8294189,0.28 %,6541907027.0,57.0
Côte d'Ivoire,2000,16454668,2.99 %,450981,36000,18.0,6.05,52,43.8 %,7201037,0.27 %,6143493823.0,55.0
Côte d'Ivoire,1995,14199762,3.55 %,454977,75000,17.8,6.41,45,42.2 %,5992300,0.25 %,5744212979.0,59.0
Côte d'Ivoire,1990,11924877,3.75 %,401336,63827,17.5,6.85,37,40.5 %,4826807,0.22 %,5327231061.0,58.0
Côte d'Ivoire,1985,9918196,4.30 %,376909,85500,17.5,7.31,31,39.1 %,3875349,0.20 %,4870921740.0,66.0
Côte d'Ivoire,1980,8033650,4.61 %,324249,80664,17.5,7.81,25,38.0 %,3054484,0.18 %,4458003514.0,71.0
Côte d'Ivoire,1975,6412403,4.68 %,262068,78608,17.8,7.93,20,33.2 %,2129866,0.16 %,4079480606.0,77.0
Côte d'Ivoire,1970,5102064,3.84 %,175044,40141,17.8,7.9,16,28.9 %,1476401,0.14 %,3700437046.0,81.0
Côte d'Ivoire,1965,4226844,3.82 %,144658,40141,18.6,7.76,13,25.1 %,1058839,0.13 %,3339583597.0,92.0
Côte d'Ivoire,1960,3503553,3.12 %,99826,20103,18.9,7.62,11,18.0 %,629178,0.12 %,3034949748.0,91.0
Côte d'Ivoire,1955,3004421,2.70 %,74857,13876,18.8,7.45,9,13.2 %,397478,0.11 %,2773019936.0,92.0
Croatia,2020,4105267,-0.61 %,-25037,-8001,44.3,1.45,73,57.7 %,2368833,0.05 %,7794798739.0,130.0
Croatia,2019,4130304,-0.63 %,-26101,-8001,43.3,1.48,74,57.4 %,2369901,0.05 %,7713468100.0,130.0
Croatia,2018,4156405,-0.63 %,-26452,-8001,43.3,1.48,74,57.1 %,2371706,0.05 %,7631091040.0,129.0
Croatia,2017,4182857,-0.61 %,-25745,-8001,43.3,1.48,75,56.8 %,2373980,0.06 %,7547858925.0,128.0
Croatia,2016,4208602,-0.57 %,-24272,-8001,43.3,1.48,75,56.5 %,2376407,0.06 %,7464022049.0,127.0
Croatia,2015,4232874,-0.44 %,-19058,-7699,43.1,1.49,76,56.2 %,2378726,0.06 %,7379797139.0,127.0
Croatia,2010,4328165,-0.23 %,-9979,-2100,41.7,1.52,77,55.2 %,2387179,0.06 %,6956823603.0,123.0
Croatia,2005,4378058,-0.23 %,-10003,-516,40.5,1.41,78,54.3 %,2377955,0.07 %,6541907027.0,118.0
